,PGC,re,amp,n
413,PGC1151916,26.218,0.0009613138765491144,0.403
414,PGC11520,21.675,0.011479165858201199,0.404
415,PGC11521,,,
416,PGC11522,,,
417,PGC11527,22.71,0.0015797915606972847,1.228
418,PGC11529,18.806,0.011088748274461092,2.769
419,PGC11533,15.729,0.0003819752317135212,1.234
420,PGC11536,,,
421,PGC11537,42.98,0.0006194332570608522,1.209
422,PGC11538,35.397,0.0029944606966023747,0.487
423,PGC1154,29.896,0.007528908347010107,0.641
424,PGC11543,,,
425,PGC11545,45.459,0.000660901553078078,2.374
426,PGC11552,34.921,0.02666423621693576,0.547
427,PGC11554,,,
428,PGC11557,29.264,0.00025237537572246106,1.489
429,PGC1156203,,fit fail,fit fail
430,PGC11563,16.256,0.021275246885786848,0.475
431,PGC11573,,,
432,PGC11574,,,
433,PGC11583,,,
434,PGC11592,24.406,0.018120324738776106,0.191
435,PGC11594,,,
436,PGC11595,44.209,0.0090821424439246,0.377
437,PGC1160,43.773,0.004975684530910635,2.747
438,PGC11609,17.736,0.029853960130256877,0.52
439,PGC11617,,,
440,PGC11625,,,
441,PGC11628,122.818,0.0006871746729805011,0.898
442,PGC11638,,,
443,PGC11640,,,
444,PGC11643,,,
445,PGC11647,27.524,0.003924454262399415,0.49
446,PGC11648,,,
447,PGC11652,72.35,0.00035771110858560733,4.236
448,PGC11658,,,
449,PGC11665,28.536,0.010660573407881662,0.45
450,PGC1166532,,,
451,PGC11666,38.627,0.0003418712010740205,1.386
452,PGC11670,,fit fail,fit fail
453,PGC11671,20.117,0.012248954395831286,0.56
454,PGC11673,21.321,0.008095260809973104,2.242
455,PGC11675,,,
456,PGC11676,,,
457,PGC11677,40.241,0.006064620500244929,0.551
458,PGC11679,,fit fail,fit fail
459,PGC11682,22.208,0.016881086803611587,0.353
460,PGC11687,22.832,0.01123724536887813,0.792
461,PGC11691,39.619,0.010361341038871182,0.37
462,PGC11699,29.744,0.000302863144481738,0.881
463,PGC11713,23.142,0.026534231461890587,0.423
464,PGC11715,,,
465,PGC11740,,fit fail,fit fail
466,PGC11744,52.487,0.02446883180313079,3.858
467,PGC11767,,,
468,PGC11768,,,
469,PGC11770,,,
470,PGC11771,,,
471,PGC11774,24.428,0.03682273032840416,1.311
472,PGC1177602,,,
473,PGC11781,38.708,0.00613333675074242,0.597
474,PGC11782,25.276,0.01963552347179781,0.468
475,PGC11789,29.09,0.007930252571978984,0.434
476,PGC117913,20.516,0.009575050476550839,0.531
477,PGC11793,18.851,0.04307122692654512,0.351
478,PGC11798,,,
479,PGC1180,,,
480,PGC11800,28.24,0.014948312694072978,0.487
481,PGC11807,35.153,0.001901309364196624,1.117
482,PGC11809,,,
483,PGC11810,25.791,0.0001955065464048644,1.787
484,PGC11812,,,
485,PGC11813,27.824,0.01311728672995736,0.568
486,PGC11819,111.248,0.018223012309789236,0.256
487,PGC11824,,,
488,PGC11830,15.399,0.021173321053464065,0.471
489,PGC11836,68.428,0.021971351180496992,0.704
490,PGC11846,,,
491,PGC11847,,,
492,PGC11851,,,
493,PGC11856,,,
494,PGC11866,63.582,0.0013832373407802589,4.371
495,PGC11868,58.718,0.00017144181197154524,2.174
496,PGC1187270,,,
497,PGC11873,,,
498,PGC11875,,,
499,PGC11887,45.0,0.023046286057371947,0.313
500,PGC11892,15.638,0.05813078579969663,0.488
501,PGC11902,,,
502,PGC11926,,,
503,PGC11931,,,
504,PGC11936,37.269,0.01017549491007639,0.644
505,PGC11937,,,
506,PGC11941,,,
507,PGC11942,,,
508,PGC1195996,16.939,0.00022574791302247996,1.966
509,PGC11969,,,
510,PGC11970,,,
511,PGC11977,40.758,0.003083264191283476,0.547
512,PGC11982,,,
513,PGC11984,52.996,0.026046029490755906,0.981
514,PGC11995,44.937,0.00026412427189330254,2.203
515,PGC120,29.113,0.011508262336577013,0.269
516,PGC12007,62.555,0.033088332665988276,0.149
517,PGC1200845,15.842,0.006309282469082719,0.468
518,PGC12011,,,
519,PGC12017,40.838,0.0035063341250253562,1.089
520,PGC12032,,,
521,PGC1203369,16.101,0.01196581995503666,0.678
522,PGC12034,19.808,0.0252465932767194,0.394
523,PGC12038,,,
524,PGC12041,90.396,0.02170691788949519,0.412
525,PGC12053,20.609,0.050008344598981916,0.869
526,PGC12068,31.913,0.018768216879064128,0.316
527,PGC12070,,,
528,PGC12074,,,
529,PGC12079,,,
530,PGC1207979,,,
531,PGC12080,35.041,0.004507184787081279,1.156
532,PGC1209,30.766,0.012355932848545258,1.024
533,PGC12112,7.708,0.014128070761437917,1.507
534,PGC12117,,,
535,PGC12119,,,
536,PGC1212,123.75,0.0007420066123155532,2.505
537,PGC12120,39.793,0.0025732045354632006,2.391
538,PGC12130,,,
539,PGC12131,16.047,0.0011480093185131184,0.585
540,PGC12132,,,
541,PGC12138,19.361,0.019991091312744146,0.475
542,PGC12141,,,
543,PGC1215162,37.089,0.0005810644425397296,4.249
544,PGC12154,,,
545,PGC12157,12.653,0.00954452527371348,0.076
546,PGC1215798,,,
547,PGC12159,,,
548,PGC12160,,fit fail,fit fail
549,PGC12163,49.589,0.006382938784763756,0.513
550,PGC12166,,,
551,PGC12174,,,
552,PGC12177,,,
553,PGC1218,27.779,0.005801842600867341,0.716
554,PGC12181,44.662,0.0069523929541678,0.54
555,PGC12184,65.314,0.0038861483953404777,1.812
556,PGC12187,,,
557,PGC12194,,,
558,PGC12195,,,
559,PGC12196,18.816,0.039345493100093575,0.67
