PGC,re,amp,n
PGC11118,,fit fail,fit fail
PGC11123,5.448,0.002653887452853539,0.352
PGC11124,,,
PGC11134,11.371,0.021346677073797234,0.984
PGC11135,,,
PGC11139,,,
PGC1114,,,
PGC11153,,,
PGC11154,19.422,0.009347834718980314,0.485
PGC11156,,,
PGC11163,,,
PGC11179,26.353,0.0024325534057330622,1.0
PGC11181,,,
PGC11192,14.706,0.03476082533256042,0.546
PGC11198,,,
PGC112,13.223,0.014486423064025148,0.385
PGC11202,,,
PGC11204,,,
PGC11210,29.38,0.008753914005385966,0.182
PGC11214,,,
PGC11217,51.62,0.007314216760745694,0.566
PGC11221,,,
PGC11228,,,
PGC11230,6.922,0.012480429752742345,0.735
PGC1123197,24.182,0.0004551705460627266,1.967
PGC11233,,,
PGC11242,,,
PGC11245,,,
PGC11248,,,
PGC11252,47.019,0.008940070146399026,0.498
PGC1125459,,,
PGC11261,,,
PGC11263,21.28,0.003050397472962526,1.618
PGC11264,,,
PGC11265,,,
PGC11270,,,
PGC11274,,,
PGC1127439,6.476,0.014400020294956411,0.887
PGC11282,,,
PGC11287,,fit fail,fit fail
PGC11290,12.136,0.07453975381326326,0.597
PGC11292,,,
PGC11299,,,
PGC1130,,,
PGC11309,,,
PGC1131621,,,
PGC1131704,,,
PGC11329,28.385,0.18088093481992326,0.859
PGC11336,10.014,0.024787555153754602,1.186
PGC11341,,,
PGC11344,,,
PGC1134909,15.118,0.008326014960412378,0.405
PGC11352,21.113,0.008332158466693593,0.585
PGC11357,,,
PGC11359,,,
PGC11367,25.543,0.02382686163519381,0.103
PGC11368,,,
PGC11369,,,
PGC11370,,,
PGC11371,,,
PGC11375,,,
PGC1137500,7.959,0.0009023475438711839,0.556
PGC11376,,,
PGC11377,42.169,0.0036061681766600033,2.094
PGC11383,6.939,0.2657663301613803,0.405
PGC113900,21.66,0.00014240223456981084,1.496
PGC113918,,fit fail,fit fail
PGC11392,110.868,-0.0002476383550691814,1.5
PGC11397,,,
PGC11399,,,
PGC11403,,,
PGC1140347,26.98,0.002854957766201763,0.627
PGC11404,,,
PGC11414,,,
PGC1141629,,fit fail,fit fail
