RA_DEG,DEC_DEG,POSANG_DEG,INCL_DEG,PGC,w1re,w2re,w3re,w4re,nuvre,fuvre
39.741092681884766,-14.320579528808594,50.79999923706055,90.0,PGC10038,,,,,,
39.76483917236328,-27.44314193725586,107.45999908447266,29.770000457763672,PGC10041,68.358,13.962,25.86,19.771,115.166,11.127
39.768898010253906,18.39389991760254,,90.0,PGC10042,,,,,,
39.774898529052734,18.386699676513672,138.5,90.0,PGC10043,,,,,,
39.773555755615234,18.38750457763672,154.0,69.66999816894531,PGC10044,42.356,43.843,33.877,26.767,31.606,30.698
39.78264617919922,-22.662012100219727,154.9199981689453,79.16999816894531,PGC10045,31.16,57.156,17.253,28.663,35.552,39.869
39.795997619628906,41.245609283447266,6.670000076293945,53.2400016784668,PGC10047,14.798,25.399,14.002,48.899,18.444,18.625
191.30545043945312,-8.358531951904297,50.0,55.66999816894531,PGC1004715,21.592,20.476,19.474,27.535,,
39.79933166503906,10.846866607666016,150.5399932861328,75.01000213623047,PGC10048,31.45,30.919,51.551,66.161,112.32,152.924
39.8026237487793,41.671722412109375,114.0,75.81999969482422,PGC10050,15.433,25.936,61.706,94.958,18.507,
39.81233215332031,30.15166664123535,23.5,67.98999786376953,PGC10051,29.291,27.868,30.443,29.39,,
39.81959915161133,40.87249755859375,96.0,80.6500015258789,PGC10052,59.703,58.789,59.938,59.855,81.374,84.356
39.82999801635742,6.543916702270508,,27.860000610351562,PGC10055,,,,,,
71.87533569335938,-8.297347068786621,48.5,65.41000366210938,PGC1005530,39.729,85.784,18.886,9.706,,
39.8484992980957,1.093833327293396,67.44000244140625,90.0,PGC10060,,,,,,
39.865333557128906,41.49338912963867,90.0,,PGC10062,,,,,,
193.0575408935547,-8.232527732849121,49.0,48.4900016784668,PGC1006370,14.793,14.687,41.752,23.639,14.993,15.052
39.87123107910156,-8.133082389831543,152.9499969482422,74.91999816894531,PGC10065,31.262,30.341,29.764,30.171,36.496,35.658
39.871646881103516,-19.841732025146484,9.609999656677246,90.0,PGC10066,,,,,,
69.5478744506836,-8.19788932800293,174.0,80.1500015258789,PGC1006861,49.123,76.701,50.281,11.352,,
3.781799793243408,60.60879898071289,105.0,73.91000366210938,PGC1007,142.874,103.4,118.834,,30.278,
39.86920928955078,12.680500030517578,20.0,80.52999877929688,PGC10072,,,118.248,12.139,29.083,29.641
69.14202117919922,-8.169652938842773,160.0,62.38999938964844,PGC1007266,16.408,15.704,14.774,73.403,,
36.68379211425781,19.396305084228516,172.0,52.709999084472656,PGC100738,10.214,41.165,17.14,22.679,14.301,16.009
153.43655395507812,-8.154999732971191,99.0,78.68000030517578,PGC1007529,41.409,88.856,23.903,17.934,26.263,26.048
179.12887573242188,-8.152722358703613,91.0,43.0099983215332,PGC1007559,22.488,16.169,23.052,20.921,35.759,11.104
49.37384033203125,-8.145227432250977,81.95999908447266,44.59000015258789,PGC1007660,21.21,23.012,13.126,12.978,,
68.44355010986328,11.852922439575195,29.0,73.87000274658203,PGC100768,19.823,18.698,12.147,14.284,,
39.902347564697266,10.79340934753418,70.19999694824219,90.0,PGC10078,,,,,,
39.902164459228516,42.01541519165039,56.5,39.849998474121094,PGC10079,25.469,27.236,11.966,27.507,25.463,
194.00790405273438,-8.128777503967285,85.5,52.83000183105469,PGC1007925,13.223,18.027,22.4,35.472,58.956,23.999
39.9023323059082,36.08122253417969,,15.380000114440918,PGC10080,,,,,,
132.4202880859375,-8.091691970825195,110.66999816894531,72.41999816894531,PGC1008446,33.609,31.977,29.454,16.41,27.424,18.599
39.92709732055664,-21.239994049072266,137.77999877929688,66.23999786376953,PGC10085,15.846,16.845,16.867,14.458,16.68,16.547
308.418212890625,-8.040665626525879,63.0,87.9800033569336,PGC1009220,169.202,77.692,14.59,,110.841,79.753
229.00149536132812,-7.979833126068115,117.0,59.02000045776367,PGC1010080,22.303,36.505,19.517,30.45,,
355.5744934082031,-7.931461334228516,26.0,68.27999877929688,PGC1010767,20.139,23.125,17.387,11.371,,
40.079959869384766,32.2621955871582,140.5,32.209999084472656,PGC10112,57.484,28.12,15.432,25.544,22.831,24.125
219.6636505126953,-7.893387317657471,72.5,59.84000015258789,PGC1011381,24.603,9.415,50.879,49.14,,
40.099910736083984,-8.43359088897705,0.8700000047683716,58.130001068115234,PGC10122,73.2,72.336,65.301,109.022,87.284,91.428
40.09994125366211,39.06325149536133,87.0,90.0,PGC10123,,,,,,
40.10466384887695,38.563331604003906,37.27000045776367,90.0,PGC10124,,,,,,
335.1767883300781,-47.44579315185547,95.73999786376953,46.150001525878906,PGC101241,25.052,36.811,9.632,61.378,25.248,16.839
40.10506057739258,-5.440361022949219,47.29999923706055,46.650001525878906,PGC10125,61.289,74.342,73.593,,27.093,17.303
40.120853424072266,19.29701805114746,3.3399999141693115,45.38999938964844,PGC10127,17.485,26.872,157.652,34.718,,
40.12138366699219,-11.277565002441406,58.66999816894531,51.0,PGC10129,15.531,17.03,139.371,17.479,20.355,17.597
40.136749267578125,-8.14763355255127,91.47000122070312,65.56999969482422,PGC10132,26.222,27.04,21.631,,48.406,
247.63475036621094,-55.40847396850586,35.0,70.66000366210938,PGC101330,116.51,91.767,43.259,39.589,,
159.15640258789062,-27.71694564819336,84.5,69.69000244140625,PGC101367,45.722,66.503,10.449,55.713,53.007,14.341
40.15706253051758,39.05752182006836,50.0,72.30999755859375,PGC10139,70.135,68.584,65.889,35.385,,
3.72336745262146,-39.19658279418945,100.94999694824219,90.0,PGC1014,,,,,,
40.162208557128906,-21.002256393432617,135.9199981689453,29.469999313354492,PGC10142,15.267,23.793,35.904,9.956,28.129,77.01
6.10809326171875,14.069600105285645,13.529999732971191,90.0,PGC101427,,,,,,
130.7428741455078,62.70554733276367,2.1700000762939453,78.97000122070312,PGC101469,61.404,12.772,22.139,18.506,,
242.79794311523438,48.33446502685547,20.049999237060547,32.36000061035156,PGC101536,11.273,24.424,23.422,25.669,,
201.3755645751953,-7.5970001220703125,14.0,90.0,PGC1016275,,,,,,
356.1239013671875,-7.596547603607178,0.0,90.0,PGC1016288,,,,,,
