col1,col2,PGC,OBJNAME,R25_DEG,LOGMASS,DIST_MPC,GALTYPE_COURSE,re_des,re,ratio,ratio2,nummasked,R25_arcsec,IDE,Com,Tmag,q,PosAng,n,Re,ratio_Salo
ESO507-065,29.5,44860,ESO507-065,0.0100419661030173,8.544012,36.391490000000005,,Bad Decomp,,,,,36.15107797086228,ESO507-065,,15.56,0.482,13.81,0.778,20.55,
ESO508-007,21.2,45429,ESO508-007,0.0133603792637586,8.83158,32.4,LT,26.479854882930834,26.479854882930834,0.8006086171441114,2.6937500596110775,356.0,48.09736534953096,ESO508-007,,14.54,0.543,92.86,1.693,32.6,2.958768596473084
ESO508-011,36.0,45487,ESO508-011,0.0244241114705801,9.586669,32.4,LT,Bad Decomp,,,,,87.92680129408836,ESO508-011,,13.24,0.155,93.99,0.94,44.57,
ESO508-015,,45611,ESO508-015,0.010252240113914,8.92715,32.4,LT,39.01220271198664,39.01220271198664,-25.607372323353935,,366.0,36.908064410090404,ESO508-015,,14.72,0.607,113.26,0.423,25.68,0.5121294944578759
ESO508-019,19.7,45666,ESO508-019,0.014784911647439,9.5216875,32.4,,Bad Decomp,,,,,53.2256819307804,ESO508-019,,13.77,0.28,48.93,1.093,29.61,
ESO508-024,32.7,45738,ESO508-024,0.0177344903349876,9.898994,32.4,LT,16.968289930802584,16.968289930802584,1.9271240728059227,0.48832078477025087,1394.0,63.844165205955356,ESO508-024,,12.04,0.635,66.61,3.756,98.74,1.0532283592882168
ESO508-030,42.5,46071,ESO508-030,0.0110871186479926,7.81721,12.6,LT,Bad Decomp,,,,,39.913627132773364,ESO508-030,,15.25,0.256,134.82,0.835,44.38,
ESO508-034,19.1,46246,ESO508-034,0.0114503502845764,9.126876,25.12,,19.502038813125907,19.502038813125907,0.9793847803822792,0.9054253596912055,114.0,41.22126102447504,ESO508-034,,14.37,0.573,132.12,1.555,18.75,0.6348812825059874
ESO508-051,25.9,46551,ESO508-051,0.0129068065434694,8.863147,26.5,LT,29.72166375174787,29.72166375174787,0.8714182428120927,0.7410783411988974,186.0,46.46450355648984,ESO508-051,,14.19,0.554,54.66,1.12,27.28,0.5575459776035832
ESO509-026,,47252,ESO509-026,0.0091163041070103,8.499562,26.5,LT,fit fail,,,,183.0,32.81869478523708,ESO509-026,,13.85,0.9,179.57,5.899,10.46,0.08132840399986972
ESO509-074,18.9,47948,ESO509-074,0.0213215481489896,10.108728,30.6,LT,Bad Decomp,,,,,76.75757333636257,ESO509-074,,11.91,0.218,138.05,2.132,25.64,
ESO510-026,32.9,49656,ESO510-026,0.0087060034275054,8.662486999999999,28.483927,LT,19.772307631235353,19.772307631235353,1.6639433602593832,0.6194241454528964,183.0,31.341612339019438,ESO510-026,,14.29,0.878,179.76,1.737,45.63,0.613641418953879
ESO510-058,17.3,50183,ESO510-058,0.0100651169195771,9.657587,29.0,LT,12.841619790166918,12.841619790166918,1.3471820753677002,0.37829336930071655,348.0,36.23442091047756,ESO510-058,,12.71,0.655,178.58,1.545,18.81,0.29379431364766634
ESO510-059,29.6,50195,ESO510-059,0.0191345699131488,9.315793,29.0,LT,61.467271111391,61.467271111391,0.48155708663817004,0.6319164704892785,1305.0,68.88445168733568,ESO510-059,,12.57,0.569,113.45,4.192,101.77,1.5518855984964737
ESO532-014,20.5,67920,ESO532-014,0.0136401364579796,8.589761,23.2,LT,32.181302474695954,32.181302474695954,0.6370158577676922,0.5076683807465464,296.0,49.10449124872656,ESO532-014,,14.87,0.467,108.38,1.228,21.6,0.38207794509147747
ESO532-022,23.0,68157,ESO532-022,0.0125840017572045,9.097817,36.965797,LT,35.48354929986497,35.48354929986497,0.6481876941235843,0.6790979547289105,404.0,45.3024063259362,ESO532-022,,14.06,0.883,120.14,1.39,26.23,0.5531906631223393
ESO532-032,23.7,68300,ESO532-032,0.0097458269447088,8.311422,38.02,LT,Bad Decomp,,,,,35.08497700095168,ESO532-032,,16.29,0.147,72.06,0.738,27.6,
ESO533-004,19.9,68345,ESO533-004,0.0150597831234335,9.716972,31.9,LT,3.149787352544166,3.149787352544166,6.3178868198598375,0.6727498632269243,39.0,54.2152192443606,ESO533-004,,12.47,0.093,150.54,0.918,27.01,0.6522244725685294
ESO533-028,11.3,68875,ESO533-028,0.0103471018373966,9.665146,34.83,LT,12.445311427844548,12.445311427844548,0.9079724573800474,0.8067099372825004,261.0,37.24956661462776,ESO533-028,,13.09,0.495,113.45,1.211,13.01,0.6634194869813735
ESO536-003,10.2,71229,ESO536-003,0.0095020830631256,8.546921000000001,23.003832,LT,Bad Decomp,,,,,34.20749902725216,ESO536-003,,15.26,0.137,51.96,1.527,11.88,
ESO539-007,23.3,1218,ESO539-007,0.0104669155552983,8.403995,24.0,,29.991353524224643,29.991353524224643,0.7768905788523384,1.4662057101331478,325.0,37.68089599907388,ESO539-007,No fit,,,,,,
ESO540-016,31.6,2526,ESO540-016,0.025634141638875,9.154493,16.8,LT,Bad Decomp,,,,,92.28290989995,ESO540-016,,14.0,0.147,77.04,1.484,41.22,
ESO540-031,38.6,2902,ESO540-031,0.0135774668306112,6.776664299999999,3.42,LT,Bad Decomp,,,,,48.87888059020032,ESO540-031,No fit,,,,,,
ESO541-004,39.8,3526,ESO541-004,0.0244804192334413,9.904192,25.1,LT,38.017587462512736,38.017587462512736,1.0468838939147522,2.323265600150545,1339.0,88.12950924038869,ESO541-004,,12.18,0.454,24.87,1.147,43.64,1.81958562079271
