PGC,re,amp,n
PGC11970,,,
PGC11977,49.613,0.001971243509354921,1.142
PGC11982,,,
PGC11984,48.768,0.04168139655114047,1.188
PGC11995,13.236,0.007009033626778098,0.989
PGC120,24.538,0.021217243163885183,0.3
PGC12007,60.216,0.046081604683323396,0.141
PGC1200845,32.529,0.0014167340627773447,1.977
PGC12011,,,
PGC12017,25.264,0.012185146830378859,1.163
PGC12032,,,
PGC1203369,13.191,0.01778134611527603,0.939
PGC12034,18.325,0.0394178111857101,0.386
PGC12038,,,
PGC12041,77.008,0.026526049799801204,0.547
PGC12053,25.843,0.02812936012632172,1.707
PGC12068,30.538,0.020591379764117897,0.348
PGC12070,,,
PGC12074,,,
PGC12079,,,
PGC1207979,,,
PGC12080,23.514,0.008691876933259578,1.587
PGC1209,10.951,0.058723480310760176,0.757
PGC12112,17.093,0.015875492253665448,1.235
PGC12117,,,
PGC12119,,,
PGC1212,8.548,0.03081314551431466,0.996
PGC12120,19.288,0.011851963550383867,1.28
PGC12130,,,
PGC12131,19.28,0.005532475682533423,0.98
PGC12132,,,
PGC12138,27.787,0.009805341442200122,1.61
PGC12141,,,
PGC1215162,7.927,0.029819389838269508,0.668
PGC12154,,,
PGC12157,14.145,0.07202469529788622,0.005
PGC1215798,,,
PGC12159,,,
PGC12160,8.904,0.004496176660381046,1.023
PGC12163,38.911,0.015288097897016496,0.335
PGC12166,,,
PGC12174,,,
PGC12177,,,
PGC1218,20.709,0.010185634110697925,0.699
PGC12181,43.353,0.0070079213971201895,0.658
PGC12184,26.623,0.018924588569232674,1.361
PGC12187,13.709,0.01066124826467265,1.037
PGC12194,,,
PGC12195,,,
PGC12196,19.206,0.03648997228999363,1.133
PGC12204,37.483,0.021191807032936907,0.202
PGC12206,,,
PGC12209,98.863,0.0021284544926898083,3.685
PGC12243,,,
PGC12248,12.181,0.0707957517786939,0.12
PGC12250,9.888,0.005545673786004986,0.996
PGC12253,29.006,0.002344856664624154,1.011
PGC12254,25.788,0.001561782034080025,1.925
PGC12263,8.65,0.0037682754423054455,0.569
PGC12270,18.84,0.0013638567558641654,1.642
PGC12271,,,
PGC12279,,,
PGC12285,37.436,0.048530892082779206,0.643
PGC12286,129.16,0.044214035954473555,2.014
PGC12292,,,
PGC12294,12.925,0.0026692157148392377,1.022
PGC12296,10.932,0.0024243834417021944,0.768
PGC12309,,,
